domain,model,horizon,scoring,strategy,n,coverage,wilson_lo,wilson_hi,boot_lo,boot_hi,mean_width,target_spread,width_ratio,vacuous
Healthcare,LACE,30-day,out-of-fold,pooled_trailing,146,86.99,80.57,91.51,81.51,92.47,19.594,22.514,0.9,False
Healthcare,LACE,30-day,out-of-fold,mondrian,146,86.99,80.57,91.51,81.51,92.47,26.766,22.514,1.2,False
Healthcare,LACE,30-day,out-of-fold,pid_conformal,146,87.67,81.35,92.06,82.86,92.47,19.494,22.514,0.9,False
Healthcare,LACE,30-day,out-of-fold,evt_tail,146,86.99,80.57,91.51,81.51,92.47,19.915,22.514,0.9,False
Healthcare,LACE,30-day,out-of-fold,diversity_optimal,146,91.78,86.18,95.24,87.67,95.89,25.235,22.514,1.1,False
Healthcare,LACE,30-day,out-of-fold,dtaci,146,86.99,80.57,91.51,81.51,92.47,19.395,22.514,0.9,False
Healthcare,LACE,30-day,out-of-fold,acmcp,146,78.08,70.7,84.03,71.23,84.93,26.19,22.514,1.2,False
Healthcare,LACE,30-day,out-of-fold,bellman_ci,146,71.23,63.42,77.96,64.38,78.77,13.2,22.514,0.6,False
Healthcare,HOSPITAL,30-day,out-of-fold,pooled_trailing,146,86.99,80.57,91.51,81.51,92.47,20.166,22.514,0.9,False
Healthcare,HOSPITAL,30-day,out-of-fold,mondrian,146,91.1,85.36,94.72,86.3,95.21,26.301,22.514,1.2,False
Healthcare,HOSPITAL,30-day,out-of-fold,pid_conformal,146,86.99,80.57,91.51,81.51,92.47,20.503,22.514,0.9,False
Healthcare,HOSPITAL,30-day,out-of-fold,evt_tail,146,86.99,80.57,91.51,81.51,92.47,20.704,22.514,0.9,False
Healthcare,HOSPITAL,30-day,out-of-fold,diversity_optimal,146,91.78,86.18,95.24,87.67,95.89,24.122,22.514,1.1,False
Healthcare,HOSPITAL,30-day,out-of-fold,dtaci,146,86.99,80.57,91.51,81.51,92.47,20.396,22.514,0.9,False
Healthcare,HOSPITAL,30-day,out-of-fold,acmcp,146,81.51,74.43,86.97,75.34,86.99,30.403,22.514,1.4,False
Healthcare,HOSPITAL,30-day,out-of-fold,bellman_ci,146,68.49,60.57,75.47,60.96,76.03,13.399,22.514,0.6,False
