domain,model,horizon,scoring,strategy,n,coverage,wilson_lo,wilson_hi,boot_lo,boot_hi,mean_width,target_spread,width_ratio,vacuous
Recession-extended,stacking-chain,Current,in-sample,pooled_trailing,77,88.31,79.25,93.73,81.82,98.7,9.59,1.536,6.2,False
Recession-extended,stacking-chain,Current,in-sample,mondrian,77,85.71,76.2,91.83,75.32,98.7,6.317,1.536,4.1,False
Recession-extended,stacking-chain,Current,in-sample,pid_conformal,77,88.31,79.25,93.73,81.82,98.7,10.346,1.536,6.7,False
Recession-extended,stacking-chain,Current,in-sample,evt_tail,77,87.01,77.72,92.79,80.52,98.7,9.4,1.536,6.1,False
Recession-extended,stacking-chain,Current,in-sample,diversity_optimal,77,97.4,91.02,99.28,94.81,100.0,29.249,1.536,19.0,False
Recession-extended,stacking-chain,Current,in-sample,dtaci,77,89.61,80.82,94.64,83.12,98.7,9.061,1.536,5.9,False
Recession-extended,stacking-chain,Current,in-sample,acmcp,77,96.1,89.16,98.67,93.51,100.0,367.53,1.536,239.3,True
Recession-extended,stacking-chain,Current,in-sample,bellman_ci,77,75.32,64.65,83.6,66.2,90.91,3.25,1.536,2.1,False
Recession-extended,stacking-chain,1M,in-sample,pooled_trailing,76,88.16,79.0,93.64,82.89,100.0,9.482,1.54,6.2,False
Recession-extended,stacking-chain,1M,in-sample,mondrian,76,82.89,72.9,89.72,75.0,97.37,6.983,1.54,4.5,False
Recession-extended,stacking-chain,1M,in-sample,pid_conformal,76,88.16,79.0,93.64,82.89,100.0,11.963,1.54,7.8,False
Recession-extended,stacking-chain,1M,in-sample,evt_tail,76,88.16,79.0,93.64,82.89,100.0,8.174,1.54,5.3,False
Recession-extended,stacking-chain,1M,in-sample,diversity_optimal,76,92.11,83.83,96.33,86.84,100.0,39.486,1.54,25.6,False
Recession-extended,stacking-chain,1M,in-sample,dtaci,76,86.84,77.45,92.69,81.58,98.68,9.698,1.54,6.3,False
Recession-extended,stacking-chain,1M,in-sample,acmcp,76,97.37,90.9,99.28,97.37,100.0,899.302,1.54,584.0,True
Recession-extended,stacking-chain,1M,in-sample,bellman_ci,76,71.05,60.04,80.04,59.21,88.16,2.499,1.54,1.6,False
Recession-extended,stacking-chain,3M,in-sample,pooled_trailing,74,86.49,76.88,92.49,78.38,100.0,19.487,1.416,13.8,False
Recession-extended,stacking-chain,3M,in-sample,mondrian,74,82.43,72.23,89.44,71.62,98.65,10.68,1.416,7.5,False
Recession-extended,stacking-chain,3M,in-sample,pid_conformal,74,86.49,76.88,92.49,78.38,100.0,22.837,1.416,16.1,False
Recession-extended,stacking-chain,3M,in-sample,evt_tail,74,83.78,73.76,90.47,74.32,98.65,16.889,1.416,11.9,False
Recession-extended,stacking-chain,3M,in-sample,diversity_optimal,74,91.89,83.42,96.23,87.84,100.0,43.939,1.416,31.0,False
Recession-extended,stacking-chain,3M,in-sample,dtaci,74,87.84,78.47,93.47,79.73,100.0,16.09,1.416,11.4,False
Recession-extended,stacking-chain,3M,in-sample,acmcp,74,83.78,73.76,90.47,72.97,100.0,64.683,1.416,45.7,False
Recession-extended,stacking-chain,3M,in-sample,bellman_ci,74,81.08,70.71,88.38,68.92,98.65,4.405,1.416,3.1,False
Recession-extended,stacking-chain,6M,in-sample,pooled_trailing,71,81.69,71.15,88.98,70.42,100.0,22.549,1.3,17.3,False
Recession-extended,stacking-chain,6M,in-sample,mondrian,71,81.69,71.15,88.98,66.2,100.0,18.649,1.3,14.3,False
Recession-extended,stacking-chain,6M,in-sample,pid_conformal,71,81.69,71.15,88.98,70.42,100.0,31.607,1.3,24.3,False
Recession-extended,stacking-chain,6M,in-sample,evt_tail,71,81.69,71.15,88.98,70.42,100.0,20.293,1.3,15.6,False
Recession-extended,stacking-chain,6M,in-sample,diversity_optimal,71,85.92,75.98,92.17,74.65,100.0,47.956,1.3,36.9,False
Recession-extended,stacking-chain,6M,in-sample,dtaci,71,83.1,72.74,90.06,73.24,98.59,25.443,1.3,19.6,False
Recession-extended,stacking-chain,6M,in-sample,acmcp,71,83.1,72.74,90.06,66.2,98.59,45.16,1.3,34.7,False
Recession-extended,stacking-chain,6M,in-sample,bellman_ci,71,56.34,44.77,67.25,36.62,76.06,4.143,1.3,3.2,False
Recession-extended,stacking-chain,Current,out-of-fold,pooled_trailing,77,96.1,89.16,98.67,92.21,100.0,18.873,1.536,12.3,False
Recession-extended,stacking-chain,Current,out-of-fold,mondrian,77,92.21,84.02,96.38,88.31,98.7,13.194,1.536,8.6,False
Recession-extended,stacking-chain,Current,out-of-fold,pid_conformal,77,96.1,89.16,98.67,92.21,100.0,18.234,1.536,11.9,False
Recession-extended,stacking-chain,Current,out-of-fold,evt_tail,77,96.1,89.16,98.67,92.21,100.0,19.344,1.536,12.6,False
Recession-extended,stacking-chain,Current,out-of-fold,diversity_optimal,77,97.4,91.02,99.28,94.81,100.0,91.569,1.536,59.6,False
Recession-extended,stacking-chain,Current,out-of-fold,dtaci,77,96.1,89.16,98.67,92.21,100.0,16.206,1.536,10.6,False
Recession-extended,stacking-chain,Current,out-of-fold,acmcp,77,97.4,91.02,99.28,94.81,100.0,122.995,1.536,80.1,True
Recession-extended,stacking-chain,Current,out-of-fold,bellman_ci,77,81.82,71.76,88.85,68.83,94.81,4.469,1.536,2.9,False
Recession-extended,stacking-chain,1M,out-of-fold,pooled_trailing,76,92.11,83.83,96.33,86.84,100.0,24.559,1.54,15.9,False
Recession-extended,stacking-chain,1M,out-of-fold,mondrian,76,92.11,83.83,96.33,86.84,100.0,17.037,1.54,11.1,False
Recession-extended,stacking-chain,1M,out-of-fold,pid_conformal,76,92.11,83.83,96.33,86.84,100.0,28.301,1.54,18.4,False
Recession-extended,stacking-chain,1M,out-of-fold,evt_tail,76,92.11,83.83,96.33,86.84,100.0,24.126,1.54,15.7,False
Recession-extended,stacking-chain,1M,out-of-fold,diversity_optimal,76,94.74,87.23,97.93,92.11,100.0,82.377,1.54,53.5,False
Recession-extended,stacking-chain,1M,out-of-fold,dtaci,76,92.11,83.83,96.33,86.84,100.0,19.276,1.54,12.5,False
Recession-extended,stacking-chain,1M,out-of-fold,acmcp,76,89.47,80.58,94.57,80.26,100.0,66.695,1.54,43.3,False
