date,share_price,OECD_CLI_index,CSI_index,gdp_per_capita_residual,gdp_per_capita_rollstd12,PPI_diff1,gdp_per_capita_diff1,gdp_per_capita_diff3,gdp_per_capita_pct_change1,1_year_rate,3_months_rate,6_months_rate,CPI,INDPRO,10_year_rate,unemployment_rate,PPI,gdp_per_capita,CSI_index_trend,OECD_CLI_index_trend,PPI_CPI_diff,3_months_rate_rollmin12,INDPRO_rollstd12,PPI_rollstd12,3_months_rate_diff3,OECD_CLI_index_diff1,CSI_index_rollmin12,OECD_CLI_index_diff3,OECD_CLI_index_residual,share_price_trend,CSI_index_lag6,unemployment_rate_rollstd6,PPI_rollstd6,OECD_CLI_index_rollmax12,CSI_index_rollmax6,INDPRO_diff3,unemployment_rate_diff3,CSI_index_rollmin6,OECD_CLI_index_pct_change1,10_year_rate_residual,CPI_anomaly,unemployment_rate_anomaly,share_price_anomaly,3_months_rate_anomaly,6_months_rate_anomaly,10_year_rate_anomaly,recession_probability,1_month_recession_probability,3_month_recession_probability,6_month_recession_probability
1967-02-01,4.733288,98.5992998525386,94.1,121.3633147833134,,,,,,4.5744444444444445,4.561111111111111,4.5905555555555555,33.0,34.8255,4.63,3.8,27.2,24602.0,93.28665616938258,98.7639799325906,-5.800000000000001,,,,,,,,-0.1990990966606745,4.990961317957901,,,,,,,,,,-0.0063799721346331495,0,0,0,0,0,0,,,,0.04
1967-03-01,4.854181,98.6174073514142,,109.56528359711956,,0.0,0.0,,0.0,4.185,4.259090909090909,4.221818181818182,33.0,34.6292,4.54,3.8,27.2,24602.0,93.5752523104481,98.94114573507787,-5.800000000000001,,,,,0.01810749887559382,,,-0.22872233510939566,5.01031308132422,,,,,,,,,0.00018364733728004623,-0.07317119823219631,0,0,0,0,0,0,,,0.92,0.22
1967-04-01,4.943822,98.7577618358888,,-24.248560048687068,,0.0,-46.0,,-0.0018697666856353212,3.8985,3.8375,3.8945,33.1,34.9558,4.59,3.8,27.2,24556.0,93.83707789952568,99.11532107165276,-5.900000000000002,,,,,0.14035448447459942,,,-0.1743577674532304,5.02935241630742,,,,,,,,,0.0014232222104000325,-0.04226639579791147,0,0,0,0,0,0,,,0.56,0.06
1967-05-01,5.050295,99.0067656447841,95.9,-39.85315842288037,,0.0,0.0,-46.0,0.0,3.885,3.603181818181818,3.799545454545455,33.1,34.6508,4.85,3.8,27.2,24556.0,94.0738528691136,99.28651280132422,-5.900000000000002,,,,-0.9579292929292929,0.24900380889529572,,0.40746579224548896,-0.05593634755044263,5.048256224912236,,,,,,-0.1747000000000014,0.0,,0.002521359377393395,-0.14175964507511285,0,0,0,0,0,0,,0.92,0.04,0.04
1967-06-01,5.005238,99.3171933727393,,-57.15526230315663,,0.0,0.0,-46.0,0.0,4.164545454545455,3.535909090909091,3.889545454545454,33.3,34.6465,5.02,3.9,27.2,24556.0,94.29035982867634,99.45496040695762,-6.099999999999998,,,,-0.7231818181818177,0.3104277279552008,,0.6997860213250959,0.08103033577100405,5.067294748470112,,,,,,0.017300000000005866,0.10000000000000009,,0.0031354193416330833,-0.10204264674445973,0,0,0,0,0,0,0.92,0.56,0.22,0.06
1967-07-01,5.117102,99.6494743247332,,-66.7552454599645,,0.0,163.0,163.0,0.006637888906988021,4.8955,4.2055,4.7204999999999995,33.4,34.5676,5.16,3.8,27.2,24719.0,94.4914149934319,99.62108421782544,-6.199999999999999,,,,0.3679999999999999,0.3322809519939085,,0.891712488844405,0.20086333778030507,5.086811332053745,,,,,,-0.38820000000000476,0.0,,0.0033456538662630653,0.06267887430113106,0,0,0,0,0,0,0.56,0.04,0.06,1.28
1967-08-01,5.195627,99.9697025461088,97.0,-87.58770302760968,,0.0,0.0,163.0,0.0,5.045217391304348,4.265652173913043,4.828695652173913,33.5,35.2299,5.28,3.8,27.2,24719.0,94.68124704719354,99.78542441312128,-6.300000000000001,,,,0.6624703557312253,0.3202282213756007,,0.96293690132471,0.27369938233367463,5.107189607869183,94.1,0.04082482904638633,0.0,,,0.579100000000004,0.0,,0.0032135465193932067,0.17532666873351044,0,0,0,0,0,0,0.04,0.22,0.04,0.1
1967-09-01,5.271365,100.245509651542,,-110.61429975506326,,0.0,0.0,163.0,0.0,5.103,4.4245,4.961,33.6,35.1727,5.3,3.8,27.2,24719.0,94.86357420361132,99.94859942421382,-6.400000000000002,,,,0.888590909090909,0.27580710543318787,,0.9283162788026971,0.2807691368320633,5.128731256022205,,0.04082482904638633,0.0,,,0.5261999999999958,-0.10000000000000009,,0.002758906932887717,0.06862859555311118,0,0,0,0,0,0,0.22,0.06,0.06,0.04
1967-10-01,5.261735,100.464921684399,,48.172057631287316,,0.0,117.0,117.0,0.004733201181277513,5.222857142857143,4.557619047619047,5.07,33.7,35.4591,5.48,4.0,27.2,24836.0,95.04041573557431,100.11126437532964,-6.5000000000000036,,,,0.35211904761904744,0.21941203285700794,,0.8154473596657965,0.2350388506893495,5.151461466532716,,0.04082482904638633,0.0,,,0.8915000000000006,0.20000000000000018,,0.0021887467440655506,0.11871272545128875,0,0,0,0,0,0,0.06,0.04,1.28,0.0
1967-11-01,5.090616,100.6235350995,92.9,19.76259772614503,,0.0,0.0,117.0,0.0,5.387,4.727,5.2490000000000006,33.9,35.9663,5.75,3.9,27.2,24836.0,95.20296339595698,100.27338253558432,-6.699999999999999,,,,0.461347826086957,0.15861341510100146,,0.6538325533911973,0.15330346282731,5.17468495373084,95.9,0.08366600265340768,0.0,,,0.7363999999999962,0.10000000000000009,,0.0015787939953735286,0.2815120320857796,0,0,0,0,0,0,0.04,0.06,0.1,0.02
