domain,model,horizon,variant,n,coverage,wilson_lo,wilson_hi,boot_lo,boot_hi,mean_width,width_ratio,p_lambda_init,p_lambda_max,p_gamma
Recession,stacking-chain,Current,untuned,65,80.0,68.73,87.92,73.85,92.31,4.564,5.7,5.0,500.0,0.8
Recession,stacking-chain,Current,tuned,65,89.23,79.4,94.68,84.62,98.46,20.946,26.1,50.0,200.0,3.2
Recession,stacking-chain,1M,untuned,64,79.69,68.29,87.73,70.31,96.88,3.964,4.9,5.0,500.0,0.8
Recession,stacking-chain,1M,tuned,64,82.81,71.79,90.12,75.0,96.88,8.215,10.2,20.0,50.0,3.2
Recession,stacking-chain,3M,untuned,62,61.29,48.85,72.42,51.61,80.65,4.883,6.7,5.0,500.0,0.8
Recession,stacking-chain,3M,tuned,62,83.87,72.79,91.0,75.81,96.77,13.214,18.1,20.0,50.0,3.2
Recession,stacking-chain,6M,untuned,59,49.15,36.84,61.56,28.81,72.88,4.553,7.6,5.0,500.0,0.8
Recession,stacking-chain,6M,tuned,59,57.63,44.93,69.39,30.51,77.97,27.039,45.4,20.0,50.0,1.6
Healthcare,ridge,30-day,untuned,146,69.18,61.28,76.1,61.64,77.4,12.355,0.5,5.0,500.0,0.8
Healthcare,ridge,30-day,tuned,146,86.99,80.57,91.51,81.51,92.47,20.93,0.9,50.0,200.0,3.2
Healthcare,gradboost,30-day,untuned,146,66.44,58.44,73.59,58.9,74.66,11.814,0.5,5.0,500.0,0.8
Healthcare,gradboost,30-day,tuned,146,88.36,82.14,92.6,83.56,93.15,21.847,1.0,50.0,200.0,3.2
Climate,ridge,region-month,untuned,243,78.19,72.58,82.92,69.96,84.77,7.78,0.9,5.0,500.0,0.8
Climate,ridge,region-month,tuned,243,91.36,87.15,94.28,87.24,94.65,10.746,1.2,50.0,200.0,3.2
Climate,gradboost,region-month,untuned,243,79.42,73.9,84.03,72.02,85.6,7.884,0.9,5.0,500.0,0.8
Climate,gradboost,region-month,tuned,243,90.95,86.67,93.95,86.83,94.65,11.408,1.3,50.0,200.0,0.4
