generator,freq,delta_s,cov_mean,cov_sd,realized_freq,rho_supp,rho_rare,gap,r2_supp,r2_rare,r2_gap,within_tert_rho,degenerate
independent,0.02,0.0,92.67,1.077,0.0189,0.568,0.035,0.533,0.301,0.0,0.301,-0.014,False
independent,0.02,0.25,92.86,1.162,0.0189,0.613,0.105,0.508,0.347,0.005,0.342,0.018,False
independent,0.02,0.5,92.87,1.153,0.0189,0.599,0.102,0.498,0.34,0.005,0.335,0.027,False
independent,0.02,0.75,92.45,1.892,0.0189,0.682,0.175,0.507,0.447,0.02,0.427,0.106,False
independent,0.02,1.0,89.6,1.782,0.0189,0.679,0.205,0.474,0.46,0.037,0.423,0.097,False
independent,0.02,1.25,87.05,1.783,0.0189,0.624,0.327,0.298,0.381,0.099,0.282,0.271,False
independent,0.02,1.5,86.05,1.516,0.0189,0.61,0.334,0.276,0.372,0.112,0.259,0.202,False
independent,0.02,2.0,84.83,1.508,0.0189,0.623,0.418,0.205,0.404,0.171,0.233,0.169,False
independent,0.02,3.0,84.83,1.508,0.0189,0.65,0.418,0.233,0.422,0.171,0.252,0.136,False
independent,0.02,4.0,84.83,1.508,0.0189,0.65,0.418,0.233,0.422,0.171,0.252,0.136,False
independent,0.05,0.0,92.97,1.31,0.0472,0.534,0.082,0.452,0.318,0.017,0.301,0.078,False
independent,0.05,0.25,93.29,1.376,0.0472,0.56,0.103,0.457,0.315,0.02,0.295,0.013,False
independent,0.05,0.5,93.45,1.395,0.0472,0.549,0.085,0.465,0.3,0.014,0.285,-0.025,False
independent,0.05,0.75,93.91,1.921,0.0472,0.643,0.231,0.412,0.424,0.075,0.349,0.12,False
independent,0.05,1.0,91.15,1.951,0.0472,0.637,0.255,0.383,0.463,0.098,0.365,0.143,False
independent,0.05,1.25,89.13,1.821,0.0472,0.632,0.374,0.258,0.441,0.144,0.297,0.218,False
independent,0.05,1.5,88.03,1.377,0.0472,0.674,0.491,0.183,0.432,0.259,0.173,0.323,False
independent,0.05,2.0,87.13,1.369,0.0472,0.56,0.609,-0.049,0.354,0.371,-0.016,0.448,False
independent,0.05,3.0,87.15,1.374,0.0472,0.613,0.621,-0.008,0.397,0.383,0.013,0.252,False
independent,0.05,4.0,87.15,1.374,0.0472,0.637,0.621,0.016,0.352,0.383,-0.032,0.192,False
independent,0.08,0.0,92.6,0.915,0.0693,0.489,0.109,0.38,0.283,0.013,0.27,0.112,False
independent,0.08,0.25,93.14,1.21,0.0693,0.609,0.197,0.412,0.345,0.039,0.306,0.165,False
independent,0.08,0.5,93.27,1.235,0.0693,0.664,0.194,0.47,0.409,0.036,0.373,0.065,False
independent,0.08,0.75,94.12,1.597,0.0693,0.568,0.317,0.251,0.313,0.126,0.187,0.24,False
independent,0.08,1.0,91.98,1.684,0.0693,0.601,0.464,0.137,0.363,0.231,0.132,0.356,False
independent,0.08,1.25,90.19,1.587,0.0693,0.57,0.59,-0.02,0.375,0.362,0.014,0.51,False
independent,0.08,1.5,89.21,1.301,0.0693,0.633,0.629,0.003,0.397,0.421,-0.024,0.482,False
independent,0.08,2.0,88.72,1.866,0.0693,0.624,0.783,-0.159,0.396,0.616,-0.221,0.669,False
independent,0.08,3.0,88.62,1.591,0.0693,0.626,0.763,-0.137,0.432,0.585,-0.153,0.564,False
independent,0.08,4.0,88.62,1.591,0.0693,0.626,0.763,-0.137,0.351,0.585,-0.234,0.564,False
independent,0.12,0.0,93.73,1.434,0.1165,0.607,0.101,0.506,0.368,0.015,0.353,0.008,False
independent,0.12,0.25,94.49,1.379,0.1165,0.545,0.154,0.391,0.311,0.028,0.283,0.047,False
independent,0.12,0.5,94.85,1.505,0.1165,0.57,0.176,0.394,0.328,0.043,0.285,0.082,False
independent,0.12,0.75,95.95,1.011,0.1165,0.477,0.239,0.238,0.282,0.07,0.212,0.127,False
independent,0.12,1.0,95.42,1.814,0.1165,0.541,0.475,0.066,0.285,0.239,0.046,0.409,False
independent,0.12,1.25,93.84,1.836,0.1165,0.555,0.537,0.018,0.322,0.329,-0.007,0.452,False
independent,0.12,1.5,93.32,1.745,0.1165,0.593,0.622,-0.029,0.38,0.423,-0.043,0.534,False
independent,0.12,2.0,92.78,0.9,0.1165,0.435,0.675,-0.239,0.23,0.46,-0.23,0.6,False
independent,0.12,3.0,91.67,1.0,0.1165,0.508,0.867,-0.359,0.271,0.693,-0.422,0.801,False
independent,0.12,4.0,91.48,1.007,0.1165,0.511,0.864,-0.352,0.264,0.664,-0.4,0.79,False
independent,0.2,0.0,91.48,1.2,0.1906,0.59,0.178,0.412,0.353,0.03,0.324,0.14,False
independent,0.2,0.25,92.46,1.418,0.1906,0.547,0.183,0.363,0.274,0.034,0.241,0.068,False
independent,0.2,0.5,93.42,1.261,0.1906,0.465,0.15,0.316,0.232,0.023,0.21,0.044,False
independent,0.2,0.75,94.73,0.89,0.1906,0.486,0.322,0.163,0.241,0.103,0.138,0.222,False
independent,0.2,1.0,95.02,1.742,0.1906,0.681,0.473,0.208,0.469,0.244,0.225,0.337,False
independent,0.2,1.25,94.71,2.249,0.1906,0.606,0.547,0.059,0.366,0.309,0.058,0.448,False
independent,0.2,1.5,94.07,1.327,0.1906,0.588,0.568,0.019,0.364,0.329,0.035,0.489,False
independent,0.2,2.0,93.23,1.141,0.1906,0.561,0.63,-0.069,0.342,0.422,-0.08,0.556,False
independent,0.2,3.0,92.82,1.08,0.1906,0.581,0.652,-0.07,0.378,0.5,-0.122,0.593,False
independent,0.2,4.0,92.82,1.08,0.1906,0.581,0.652,-0.07,0.378,0.5,-0.122,0.593,False
independent,0.3,0.0,93.95,0.807,0.2614,0.52,0.003,0.517,0.254,0.0,0.254,-0.024,False
independent,0.3,0.25,94.44,1.188,0.2614,0.593,0.08,0.514,0.362,0.003,0.359,0.053,False
independent,0.3,0.5,93.21,1.548,0.2614,0.56,0.239,0.321,0.309,0.056,0.254,0.21,False
independent,0.3,0.75,93.71,0.58,0.2614,0.448,0.137,0.311,0.218,0.018,0.199,0.072,False
independent,0.3,1.0,94.43,1.372,0.2614,0.56,0.278,0.282,0.278,0.059,0.22,0.181,False
independent,0.3,1.25,93.84,1.925,0.2614,0.541,0.415,0.126,0.308,0.179,0.129,0.351,False
independent,0.3,1.5,93.26,2.118,0.2614,0.619,0.441,0.177,0.379,0.199,0.18,0.379,False
independent,0.3,2.0,92.35,2.129,0.2614,0.69,0.481,0.209,0.474,0.238,0.235,0.33,False
independent,0.3,3.0,91.87,2.072,0.2614,0.673,0.525,0.148,0.439,0.284,0.155,0.403,False
independent,0.3,4.0,91.87,2.072,0.2614,0.673,0.525,0.148,0.439,0.284,0.155,0.403,False
correlated,0.02,0.0,93.25,0.879,0.0268,0.473,-0.078,0.551,0.237,0.019,0.217,-0.009,False
correlated,0.02,0.25,93.45,0.709,0.0268,0.462,-0.093,0.555,0.241,0.009,0.232,-0.043,False
correlated,0.02,0.5,94.22,0.979,0.0268,0.452,0.042,0.409,0.155,0.003,0.152,0.058,False
correlated,0.02,0.75,95.38,0.243,0.0268,0.165,0.138,0.027,0.035,0.016,0.019,0.171,False
correlated,0.02,1.0,94.17,1.027,0.0268,0.516,0.118,0.397,0.249,0.013,0.236,0.05,False
correlated,0.02,1.25,93.22,1.153,0.0268,0.472,0.135,0.337,0.26,0.012,0.248,0.083,False
correlated,0.02,1.5,91.98,1.239,0.0268,0.605,0.237,0.367,0.368,0.066,0.302,0.14,False
correlated,0.02,2.0,91.74,1.848,0.0268,0.601,0.259,0.342,0.363,0.066,0.297,0.125,False
