iter	RMSE
0	4.645527903
1	4.550101059
2	4.466332047
3	4.379640157
4	4.293944231
5	4.22669019
6	4.149717737
7	4.079569304
8	4.00215489
9	3.93574845
10	3.870243884
11	3.812043686
12	3.752006255
13	3.693701017
14	3.645673737
15	3.594353722
16	3.552512676
17	3.509943302
18	3.471057851
19	3.42671905
20	3.385335427
21	3.350569349
22	3.313166236
23	3.275629251
24	3.237583947
25	3.206316258
26	3.170262127
27	3.141727702
28	3.118956043
29	3.092466183
30	3.066609765
31	3.038662612
32	3.012475934
33	2.989310091
34	2.970723062
35	2.947208636
36	2.927772975
37	2.908178176
38	2.885996635
39	2.872546863
40	2.854677765
41	2.83665064
42	2.817192678
43	2.794705789
44	2.778220223
45	2.759594108
46	2.744273734
47	2.725789553
48	2.715181358
49	2.703072037
50	2.69099288
51	2.680596055
52	2.665363908
53	2.646812577
54	2.641244038
55	2.63357648
56	2.617233033
57	2.603297387
58	2.596834655
59	2.585420557
60	2.570444844
61	2.557991208
62	2.546702095
63	2.531732223
64	2.524127538
65	2.516763588
66	2.506183864
67	2.495043605
68	2.486500283
69	2.473341205
70	2.46569431
71	2.456363222
72	2.447509916
73	2.438611697
74	2.429794342
75	2.422242984
76	2.418376627
77	2.406458894
78	2.39845996
79	2.385902078
80	2.3769982
81	2.366107909
82	2.35807237
83	2.346966299
84	2.338465508
85	2.329385413
86	2.321828978
87	2.3137587
88	2.308459711
89	2.301546076
90	2.291280208
91	2.282519643
92	2.276617613
93	2.271401579
94	2.265887885
95	2.26003432
96	2.25478678
97	2.249140335
98	2.24361842
99	2.239385428
100	2.234349285
101	2.230327403
102	2.226184933
103	2.218548553
104	2.210599291
105	2.206271194
106	2.201176915
107	2.193638497
108	2.186415617
109	2.178692802
110	2.17218229
111	2.16678198
112	2.159721394
113	2.151951486
114	2.145473454
115	2.138379706
116	2.133216516
117	2.127779925
118	2.122251082
119	2.117683034
120	2.11333202
121	2.110219184
122	2.105637513
123	2.098071846
124	2.095255715
125	2.087993508
126	2.078621901
127	2.069606366
128	2.06354461
129	2.05542864
130	2.050610088
131	2.044161631
132	2.040951141
133	2.034003316
134	2.030648039
135	2.024515766
136	2.019139082
137	2.015335136
138	2.012547634
139	2.006903613
140	2.001064859
141	1.999828645
142	1.995676577
143	1.991036847
144	1.986438655
145	1.979042527
146	1.975801066
147	1.967106646
148	1.964718642
149	1.958762607
150	1.947416032
151	1.940246852
152	1.932802551
153	1.927181877
154	1.919650287
155	1.91590976
156	1.908063844
157	1.902331163
158	1.895123191
159	1.891859554
160	1.882512807
161	1.878551128
162	1.870464109
163	1.86659497
164	1.864672396
165	1.859518411
166	1.851811741
167	1.847042416
168	1.840369251
169	1.834881868
170	1.829902472
171	1.828156051
172	1.823874847
173	1.816860631
174	1.815229059
175	1.809035172
176	1.798960844
177	1.794377063
178	1.792553464
179	1.790907879
180	1.782234401
181	1.779221098
182	1.777851749
183	1.776141039
184	1.765272893
185	1.760501253
186	1.753079447
187	1.746976971
188	1.742383329
189	1.740873627
190	1.732793092
191	1.7269628
192	1.722282305
193	1.712514193
194	1.710745591
195	1.704902627
196	1.69569827
197	1.691122547
198	1.689963718
199	1.682650282
200	1.67372213
201	1.672337734
202	1.670747908
203	1.668267499
204	1.664862408
205	1.655350975
206	1.648138718
207	1.639883934
208	1.633703853
209	1.625323573
210	1.617656924
211	1.61239624
212	1.607613098
213	1.60266754
214	1.598427039
215	1.59738123
216	1.596296695
217	1.594828564
218	1.586665026
219	1.577305951
220	1.57629669
221	1.575181463
222	1.568232765
223	1.56510526
224	1.561283518
225	1.560353549
226	1.555920636
227	1.54755367
228	1.542314837
229	1.537855323
230	1.537214241
231	1.5321215
232	1.531377026
233	1.530237816
234	1.52951351
