iter	Passed	Remaining
0	12	12956
1	26	13177
2	35	11782
3	45	11399
4	58	11657
5	71	11804
6	80	11487
7	93	11566
8	109	12092
9	123	12203
10	133	11980
11	146	12069
12	164	12488
13	180	12718
14	196	12912
15	208	12803
16	216	12519
17	229	12505
18	241	12453
19	253	12398
20	267	12489
21	281	12499
22	294	12511
23	306	12474
24	322	12578
25	340	12751
26	353	12723
27	373	12955
28	390	13090
29	406	13156
30	426	13342
31	440	13326
32	454	13317
33	470	13366
34	484	13367
35	499	13376
36	512	13347
37	524	13286
38	537	13238
39	552	13271
40	567	13283
41	584	13333
42	605	13471
43	636	13837
44	648	13766
45	668	13854
46	684	13874
47	706	14004
48	718	13949
49	731	13907
50	747	13901
51	762	13906
52	775	13857
53	788	13807
54	800	13752
55	818	13795
56	831	13761
57	849	13793
58	864	13782
59	880	13793
60	899	13846
61	923	13965
62	970	14435
63	1004	14696
64	1029	14807
65	1058	14975
66	1089	15168
67	1110	15222
68	1130	15257
69	1163	15452
70	1217	15927
71	1274	16423
72	1293	16424
73	1311	16411
74	1339	16520
75	1459	17747
76	1509	18088
77	1536	18161
78	1582	18446
79	1601	18412
80	1617	18353
81	1632	18270
82	1661	18357
83	1680	18322
84	1699	18290
85	1723	18313
86	1743	18294
87	1763	18274
88	1778	18208
89	1802	18223
90	1819	18177
91	1842	18180
92	1861	18153
93	1883	18157
94	1898	18082
95	1911	18001
96	1924	17919
97	1939	17853
98	1954	17786
99	1968	17716
100	1982	17649
101	2001	17617
102	2016	17559
103	2031	17503
104	2043	17421
105	2056	17347
106	2072	17296
107	2088	17248
108	2104	17198
109	2122	17176
110	2144	17175
111	2159	17123
112	2177	17095
113	2192	17036
114	2205	16974
115	2219	16915
116	2233	16854
117	2246	16793
118	2263	16760
119	2278	16707
120	2295	16677
121	2312	16641
122	2332	16629
123	2346	16573
124	2361	16532
125	2386	16554
126	2407	16549
127	2428	16542
128	2441	16485
129	2454	16424
130	2474	16412
131	2488	16361
132	2501	16306
133	2516	16261
134	2529	16208
135	2543	16159
136	2558	16119
137	2578	16103
138	2596	16082
139	2612	16047
140	2625	15995
141	2639	15951
142	2656	15918
143	2672	15886
144	2685	15832
145	2699	15787
146	2713	15744
147	2727	15700
148	2739	15646
149	2755	15612
150	2767	15559
151	2782	15525
152	2793	15465
153	2809	15436
154	2823	15391
155	2839	15363
156	2854	15324
157	2869	15290
158	2886	15268
159	2898	15217
160	2915	15195
161	2928	15150
162	2943	15113
163	2955	15067
164	2976	15063
165	2996	15055
166	3015	15042
167	3027	14994
168	3043	14965
169	3054	14914
170	3071	14892
171	3084	14848
172	3098	14810
173	3108	14758
174	3122	14722
175	3136	14686
176	3149	14642
177	3166	14621
178	3182	14595
179	3199	14577
180	3218	14564
181	3243	14577
182	3262	14565
183	3284	14565
184	3305	14562
185	3323	14543
186	3341	14527
187	3362	14523
188	3378	14496
189	3393	14465
190	3411	14449
191	3423	14408
192	3442	14392
193	3467	14407
194	3486	14393
195	3501	14363
196	3515	14329
197	3526	14284
198	3539	14245
