realtime_start,realtime_end,date,value
2025-08-04,2025-08-04,1967-01-01,24602.0
2025-08-04,2025-08-04,1967-04-01,24556.0
2025-08-04,2025-08-04,1967-07-01,24719.0
2025-08-04,2025-08-04,1967-10-01,24836.0
2025-08-04,2025-08-04,1968-01-01,25288.0
2025-08-04,2025-08-04,1968-04-01,25652.0
2025-08-04,2025-08-04,1968-07-01,25781.0
2025-08-04,2025-08-04,1968-10-01,25813.0
2025-08-04,2025-08-04,1969-01-01,26162.0
2025-08-04,2025-08-04,1969-04-01,26181.0
2025-08-04,2025-08-04,1969-07-01,26281.0
2025-08-04,2025-08-04,1969-10-01,26076.0
2025-08-04,2025-08-04,1970-01-01,25973.0
2025-08-04,2025-08-04,1970-04-01,25929.0
2025-08-04,2025-08-04,1970-07-01,26079.0
2025-08-04,2025-08-04,1970-10-01,25710.0
2025-08-04,2025-08-04,1971-01-01,26328.0
2025-08-04,2025-08-04,1971-04-01,26394.0
2025-08-04,2025-08-04,1971-07-01,26529.0
2025-08-04,2025-08-04,1971-10-01,26510.0
2025-08-04,2025-08-04,1972-01-01,26932.0
2025-08-04,2025-08-04,1972-04-01,27478.0
2025-08-04,2025-08-04,1972-07-01,27666.0
2025-08-04,2025-08-04,1972-10-01,28055.0
2025-08-04,2025-08-04,1973-01-01,28687.0
2025-08-04,2025-08-04,1973-04-01,28935.0
2025-08-04,2025-08-04,1973-07-01,28711.0
2025-08-04,2025-08-04,1973-10-01,28913.0
2025-08-04,2025-08-04,1974-01-01,28606.0
2025-08-04,2025-08-04,1974-04-01,28613.0
2025-08-04,2025-08-04,1974-07-01,28270.0
2025-08-04,2025-08-04,1974-10-01,28088.0
2025-08-04,2025-08-04,1975-01-01,27690.0
2025-08-04,2025-08-04,1975-04-01,27821.0
2025-08-04,2025-08-04,1975-07-01,28214.0
2025-08-04,2025-08-04,1975-10-01,28520.0
2025-08-04,2025-08-04,1976-01-01,29099.0
2025-08-04,2025-08-04,1976-04-01,29250.0
2025-08-04,2025-08-04,1976-07-01,29335.0
2025-08-04,2025-08-04,1976-10-01,29469.0
2025-08-04,2025-08-04,1977-01-01,29749.0
2025-08-04,2025-08-04,1977-04-01,30254.0
2025-08-04,2025-08-04,1977-07-01,30713.0
2025-08-04,2025-08-04,1977-10-01,30626.0
2025-08-04,2025-08-04,1978-01-01,30653.0
2025-08-04,2025-08-04,1978-04-01,31757.0
2025-08-04,2025-08-04,1978-07-01,31982.0
2025-08-04,2025-08-04,1978-10-01,32318.0
2025-08-04,2025-08-04,1979-01-01,32294.0
2025-08-04,2025-08-04,1979-04-01,32244.0
2025-08-04,2025-08-04,1979-07-01,32386.0
2025-08-04,2025-08-04,1979-10-01,32366.0
2025-08-04,2025-08-04,1980-01-01,32377.0
2025-08-04,2025-08-04,1980-04-01,31621.0
2025-08-04,2025-08-04,1980-07-01,31489.0
2025-08-04,2025-08-04,1980-10-01,31990.0
2025-08-04,2025-08-04,1981-01-01,32550.0
2025-08-04,2025-08-04,1981-04-01,32236.0
2025-08-04,2025-08-04,1981-07-01,32533.0
2025-08-04,2025-08-04,1981-10-01,32095.0
2025-08-04,2025-08-04,1982-01-01,31529.0
2025-08-04,2025-08-04,1982-04-01,31603.0
2025-08-04,2025-08-04,1982-07-01,31402.0
2025-08-04,2025-08-04,1982-10-01,31337.0
2025-08-04,2025-08-04,1983-01-01,31686.0
2025-08-04,2025-08-04,1983-04-01,32340.0
2025-08-04,2025-08-04,1983-07-01,32906.0
2025-08-04,2025-08-04,1983-10-01,33513.0
2025-08-04,2025-08-04,1984-01-01,34103.0
2025-08-04,2025-08-04,1984-04-01,34622.0
2025-08-04,2025-08-04,1984-07-01,34871.0
2025-08-04,2025-08-04,1984-10-01,35072.0
2025-08-04,2025-08-04,1985-01-01,35346.0
2025-08-04,2025-08-04,1985-04-01,35582.0
2025-08-04,2025-08-04,1985-07-01,36033.0
2025-08-04,2025-08-04,1985-10-01,36210.0
2025-08-04,2025-08-04,1986-01-01,36476.0
2025-08-04,2025-08-04,1986-04-01,36563.0
2025-08-04,2025-08-04,1986-07-01,36822.0
2025-08-04,2025-08-04,1986-10-01,36931.0
2025-08-04,2025-08-04,1987-01-01,37132.0
2025-08-04,2025-08-04,1987-04-01,37454.0
2025-08-04,2025-08-04,1987-07-01,37685.0
2025-08-04,2025-08-04,1987-10-01,38238.0
2025-08-04,2025-08-04,1988-01-01,38359.0
2025-08-04,2025-08-04,1988-04-01,38782.0
2025-08-04,2025-08-04,1988-07-01,38908.0
2025-08-04,2025-08-04,1988-10-01,39328.0
2025-08-04,2025-08-04,1989-01-01,39648.0
2025-08-04,2025-08-04,1989-04-01,39861.0
2025-08-04,2025-08-04,1989-07-01,40046.0
2025-08-04,2025-08-04,1989-10-01,40015.0
2025-08-04,2025-08-04,1990-01-01,40361.0
2025-08-04,2025-08-04,1990-04-01,40382.0
2025-08-04,2025-08-04,1990-07-01,40266.0
2025-08-04,2025-08-04,1990-10-01,39759.0
2025-08-04,2025-08-04,1991-01-01,39451.0
2025-08-04,2025-08-04,1991-04-01,39632.0
2025-08-04,2025-08-04,1991-07-01,39691.0
2025-08-04,2025-08-04,1991-10-01,39694.0
2025-08-04,2025-08-04,1992-01-01,40051.0
2025-08-04,2025-08-04,1992-04-01,40350.0
2025-08-04,2025-08-04,1992-07-01,40599.0
2025-08-04,2025-08-04,1992-10-01,40881.0
2025-08-04,2025-08-04,1993-01-01,40829.0
2025-08-04,2025-08-04,1993-04-01,40942.0
2025-08-04,2025-08-04,1993-07-01,40997.0
2025-08-04,2025-08-04,1993-10-01,41423.0
2025-08-04,2025-08-04,1994-01-01,41713.0
2025-08-04,2025-08-04,1994-04-01,42154.0
2025-08-04,2025-08-04,1994-07-01,42264.0
2025-08-04,2025-08-04,1994-10-01,42618.0
2025-08-04,2025-08-04,1995-01-01,42654.0
2025-08-04,2025-08-04,1995-04-01,42660.0
2025-08-04,2025-08-04,1995-07-01,42885.0
2025-08-04,2025-08-04,1995-10-01,43044.0
2025-08-04,2025-08-04,1996-01-01,43259.0
2025-08-04,2025-08-04,1996-04-01,43856.0
2025-08-04,2025-08-04,1996-07-01,44105.0
2025-08-04,2025-08-04,1996-10-01,44421.0
2025-08-04,2025-08-04,1997-01-01,44590.0
2025-08-04,2025-08-04,1997-04-01,45203.0
2025-08-04,2025-08-04,1997-07-01,45616.0
2025-08-04,2025-08-04,1997-10-01,45862.0
2025-08-04,2025-08-04,1998-01-01,46204.0
2025-08-04,2025-08-04,1998-04-01,46504.0
2025-08-04,2025-08-04,1998-07-01,46943.0
2025-08-04,2025-08-04,1998-10-01,47555.0
2025-08-04,2025-08-04,1999-01-01,47880.0
2025-08-04,2025-08-04,1999-04-01,48148.0
2025-08-04,2025-08-04,1999-07-01,48632.0
2025-08-04,2025-08-04,1999-10-01,49281.0
2025-08-04,2025-08-04,2000-01-01,49335.0
2025-08-04,2025-08-04,2000-04-01,50109.0
2025-08-04,2025-08-04,2000-07-01,50024.0
2025-08-04,2025-08-04,2000-10-01,50190.0
2025-08-04,2025-08-04,2001-01-01,49911.0
2025-08-04,2025-08-04,2001-04-01,50105.0
2025-08-04,2025-08-04,2001-07-01,49774.0
2025-08-04,2025-08-04,2001-10-01,49783.0
2025-08-04,2025-08-04,2002-01-01,50091.0
2025-08-04,2025-08-04,2002-04-01,50286.0
2025-08-04,2025-08-04,2002-07-01,50362.0
2025-08-04,2025-08-04,2002-10-01,50302.0
2025-08-04,2025-08-04,2003-01-01,50462.0
2025-08-04,2025-08-04,2003-04-01,50796.0
2025-08-04,2025-08-04,2003-07-01,51512.0
2025-08-04,2025-08-04,2003-10-01,51986.0
2025-08-04,2025-08-04,2004-01-01,52179.0
2025-08-04,2025-08-04,2004-04-01,52469.0
2025-08-04,2025-08-04,2004-07-01,52835.0
2025-08-04,2025-08-04,2004-10-01,53242.0
2025-08-04,2025-08-04,2005-01-01,53719.0
2025-08-04,2025-08-04,2005-04-01,53868.0
2025-08-04,2025-08-04,2005-07-01,54153.0
2025-08-04,2025-08-04,2005-10-01,54317.0
2025-08-04,2025-08-04,2006-01-01,54927.0
2025-08-04,2025-08-04,2006-04-01,54945.0
2025-08-04,2025-08-04,2006-07-01,54886.0
2025-08-04,2025-08-04,2006-10-01,55216.0
2025-08-04,2025-08-04,2007-01-01,55260.0
2025-08-04,2025-08-04,2007-04-01,55474.0
2025-08-04,2025-08-04,2007-07-01,55649.0
2025-08-04,2025-08-04,2007-10-01,55857.0
2025-08-04,2025-08-04,2008-01-01,55497.0
2025-08-04,2025-08-04,2008-04-01,55705.0
2025-08-04,2025-08-04,2008-07-01,55278.0
2025-08-04,2025-08-04,2008-10-01,53941.0
2025-08-04,2025-08-04,2009-01-01,53221.0
2025-08-04,2025-08-04,2009-04-01,53017.0
2025-08-04,2025-08-04,2009-07-01,53081.0
2025-08-04,2025-08-04,2009-10-01,53531.0
2025-08-04,2025-08-04,2010-01-01,53683.0
2025-08-04,2025-08-04,2010-04-01,54100.0
2025-08-04,2025-08-04,2010-07-01,54401.0
2025-08-04,2025-08-04,2010-10-01,54569.0
2025-08-04,2025-08-04,2011-01-01,54341.0
2025-08-04,2025-08-04,2011-04-01,54610.0
2025-08-04,2025-08-04,2011-07-01,54482.0
2025-08-04,2025-08-04,2011-10-01,54979.0
2025-08-04,2025-08-04,2012-01-01,55342.0
2025-08-04,2025-08-04,2012-04-01,55490.0
2025-08-04,2025-08-04,2012-07-01,55454.0
2025-08-04,2025-08-04,2012-10-01,55403.0
2025-08-04,2025-08-04,2013-01-01,55859.0
2025-08-04,2025-08-04,2013-04-01,55914.0
2025-08-04,2025-08-04,2013-07-01,56272.0
2025-08-04,2025-08-04,2013-10-01,56642.0
2025-08-04,2025-08-04,2014-01-01,56345.0
2025-08-04,2025-08-04,2014-04-01,56968.0
2025-08-04,2025-08-04,2014-07-01,57536.0
2025-08-04,2025-08-04,2014-10-01,57702.0
2025-08-04,2025-08-04,2015-01-01,58121.0
2025-08-04,2025-08-04,2015-04-01,58376.0
2025-08-04,2025-08-04,2015-07-01,58486.0
2025-08-04,2025-08-04,2015-10-01,58470.0
2025-08-04,2025-08-04,2016-01-01,58704.0
2025-08-04,2025-08-04,2016-04-01,58787.0
2025-08-04,2025-08-04,2016-07-01,59084.0
2025-08-04,2025-08-04,2016-10-01,59296.0
2025-08-04,2025-08-04,2017-01-01,59494.0
2025-08-04,2025-08-04,2017-04-01,59736.0
2025-08-04,2025-08-04,2017-07-01,60099.0
2025-08-04,2025-08-04,2017-10-01,60674.0
2025-08-04,2025-08-04,2018-01-01,61093.0
2025-08-04,2025-08-04,2018-04-01,61336.0
2025-08-04,2025-08-04,2018-07-01,61622.0
2025-08-04,2025-08-04,2018-10-01,61619.0
2025-08-04,2025-08-04,2019-01-01,61939.0
2025-08-04,2025-08-04,2019-04-01,62385.0
2025-08-04,2025-08-04,2019-07-01,63022.0
2025-08-04,2025-08-04,2019-10-01,63360.0
2025-08-04,2025-08-04,2020-01-01,62415.0
2025-08-04,2025-08-04,2020-04-01,57440.0
2025-08-04,2025-08-04,2020-07-01,61906.0
2025-08-04,2025-08-04,2020-10-01,62544.0
2025-08-04,2025-08-04,2021-01-01,63418.0
2025-08-04,2025-08-04,2021-04-01,64383.0
2025-08-04,2025-08-04,2021-07-01,64850.0
2025-08-04,2025-08-04,2021-10-01,65925.0
2025-08-04,2025-08-04,2022-01-01,65684.0
2025-08-04,2025-08-04,2022-04-01,65631.0
2025-08-04,2025-08-04,2022-07-01,65939.0
2025-08-04,2025-08-04,2022-10-01,66341.0
2025-08-04,2025-08-04,2023-01-01,66673.0
2025-08-04,2025-08-04,2023-04-01,66945.0
2025-08-04,2025-08-04,2023-07-01,67499.0
2025-08-04,2025-08-04,2023-10-01,67858.0
2025-08-04,2025-08-04,2024-01-01,67981.0
2025-08-04,2025-08-04,2024-04-01,68320.0
2025-08-04,2025-08-04,2024-07-01,68696.0
2025-08-04,2025-08-04,2024-10-01,69006.0
2025-08-04,2025-08-04,2025-01-01,68833.0
2025-08-04,2025-08-04,2025-04-01,69248.0
