realtime_start,realtime_end,date,value
2025-07-03,2025-07-03,1967-02-01,.
2025-07-03,2025-07-03,1967-03-01,.
2025-07-03,2025-07-03,1967-04-01,.
2025-07-03,2025-07-03,1967-05-01,.
2025-07-03,2025-07-03,1967-06-01,0.8
2025-07-03,2025-07-03,1967-07-01,0.5
2025-07-03,2025-07-03,1967-08-01,0.0
2025-07-03,2025-07-03,1967-09-01,0.26
2025-07-03,2025-07-03,1967-10-01,0.08
2025-07-03,2025-07-03,1967-11-01,0.0
2025-07-03,2025-07-03,1967-12-01,0.0
2025-07-03,2025-07-03,1968-01-01,1.54
2025-07-03,2025-07-03,1968-02-01,0.02
2025-07-03,2025-07-03,1968-03-01,0.04
2025-07-03,2025-07-03,1968-04-01,0.02
2025-07-03,2025-07-03,1968-05-01,0.0
2025-07-03,2025-07-03,1968-06-01,0.0
2025-07-03,2025-07-03,1968-07-01,0.0
2025-07-03,2025-07-03,1968-08-01,0.14
2025-07-03,2025-07-03,1968-09-01,0.0
2025-07-03,2025-07-03,1968-10-01,0.0
2025-07-03,2025-07-03,1968-11-01,0.0
2025-07-03,2025-07-03,1968-12-01,0.06
2025-07-03,2025-07-03,1969-01-01,0.04
2025-07-03,2025-07-03,1969-02-01,0.0
2025-07-03,2025-07-03,1969-03-01,0.02
2025-07-03,2025-07-03,1969-04-01,0.18
2025-07-03,2025-07-03,1969-05-01,0.1
2025-07-03,2025-07-03,1969-06-01,0.08
2025-07-03,2025-07-03,1969-07-01,0.14
2025-07-03,2025-07-03,1969-08-01,0.28
2025-07-03,2025-07-03,1969-09-01,4.14
2025-07-03,2025-07-03,1969-10-01,6.96
2025-07-03,2025-07-03,1969-11-01,36.56
2025-07-03,2025-07-03,1969-12-01,40.22
2025-07-03,2025-07-03,1970-01-01,50.0
2025-07-03,2025-07-03,1970-02-01,39.6
2025-07-03,2025-07-03,1970-03-01,40.06
2025-07-03,2025-07-03,1970-04-01,42.32
2025-07-03,2025-07-03,1970-05-01,39.4
2025-07-03,2025-07-03,1970-06-01,37.62
2025-07-03,2025-07-03,1970-07-01,38.38
2025-07-03,2025-07-03,1970-08-01,56.12
2025-07-03,2025-07-03,1970-09-01,75.94
2025-07-03,2025-07-03,1970-10-01,86.34
2025-07-03,2025-07-03,1970-11-01,32.38
2025-07-03,2025-07-03,1970-12-01,0.0
2025-07-03,2025-07-03,1971-01-01,0.1
2025-07-03,2025-07-03,1971-02-01,1.38
2025-07-03,2025-07-03,1971-03-01,0.36
2025-07-03,2025-07-03,1971-04-01,0.0
2025-07-03,2025-07-03,1971-05-01,0.04
2025-07-03,2025-07-03,1971-06-01,0.2
2025-07-03,2025-07-03,1971-07-01,0.4
2025-07-03,2025-07-03,1971-08-01,0.16
2025-07-03,2025-07-03,1971-09-01,0.0
2025-07-03,2025-07-03,1971-10-01,0.0
2025-07-03,2025-07-03,1971-11-01,0.0
2025-07-03,2025-07-03,1971-12-01,0.0
2025-07-03,2025-07-03,1972-01-01,0.0
2025-07-03,2025-07-03,1972-02-01,0.0
2025-07-03,2025-07-03,1972-03-01,0.0
2025-07-03,2025-07-03,1972-04-01,0.0
2025-07-03,2025-07-03,1972-05-01,0.02
2025-07-03,2025-07-03,1972-06-01,0.06
2025-07-03,2025-07-03,1972-07-01,0.12
2025-07-03,2025-07-03,1972-08-01,0.0
2025-07-03,2025-07-03,1972-09-01,0.0
2025-07-03,2025-07-03,1972-10-01,0.0
2025-07-03,2025-07-03,1972-11-01,0.0
2025-07-03,2025-07-03,1972-12-01,0.0
2025-07-03,2025-07-03,1973-01-01,0.0
2025-07-03,2025-07-03,1973-02-01,0.0
2025-07-03,2025-07-03,1973-03-01,0.24
2025-07-03,2025-07-03,1973-04-01,0.24
2025-07-03,2025-07-03,1973-05-01,0.08
2025-07-03,2025-07-03,1973-06-01,0.08
2025-07-03,2025-07-03,1973-07-01,0.1
2025-07-03,2025-07-03,1973-08-01,0.22
2025-07-03,2025-07-03,1973-09-01,0.06
2025-07-03,2025-07-03,1973-10-01,0.1
2025-07-03,2025-07-03,1973-11-01,1.02
2025-07-03,2025-07-03,1973-12-01,29.88
2025-07-03,2025-07-03,1974-01-01,33.2
2025-07-03,2025-07-03,1974-02-01,28.78
2025-07-03,2025-07-03,1974-03-01,26.04
2025-07-03,2025-07-03,1974-04-01,24.8
2025-07-03,2025-07-03,1974-05-01,24.02
2025-07-03,2025-07-03,1974-06-01,34.02
2025-07-03,2025-07-03,1974-07-01,44.82
2025-07-03,2025-07-03,1974-08-01,77.44
2025-07-03,2025-07-03,1974-09-01,82.08
2025-07-03,2025-07-03,1974-10-01,92.62
2025-07-03,2025-07-03,1974-11-01,99.98
2025-07-03,2025-07-03,1974-12-01,100.0
2025-07-03,2025-07-03,1975-01-01,99.8
2025-07-03,2025-07-03,1975-02-01,99.7
2025-07-03,2025-07-03,1975-03-01,94.24
2025-07-03,2025-07-03,1975-04-01,15.68
2025-07-03,2025-07-03,1975-05-01,2.26
2025-07-03,2025-07-03,1975-06-01,0.62
2025-07-03,2025-07-03,1975-07-01,0.12
2025-07-03,2025-07-03,1975-08-01,0.0
2025-07-03,2025-07-03,1975-09-01,0.04
2025-07-03,2025-07-03,1975-10-01,0.02
2025-07-03,2025-07-03,1975-11-01,0.06
2025-07-03,2025-07-03,1975-12-01,0.0
2025-07-03,2025-07-03,1976-01-01,0.0
2025-07-03,2025-07-03,1976-02-01,0.0
2025-07-03,2025-07-03,1976-03-01,0.1
2025-07-03,2025-07-03,1976-04-01,0.04
2025-07-03,2025-07-03,1976-05-01,0.1
