realtime_start,realtime_end,date,value
2025-07-27,2025-07-27,1967-02-01,4.733288
2025-07-27,2025-07-27,1967-03-01,4.854181
2025-07-27,2025-07-27,1967-04-01,4.943822
2025-07-27,2025-07-27,1967-05-01,5.050294999999999
2025-07-27,2025-07-27,1967-06-01,5.005237999999999
2025-07-27,2025-07-27,1967-07-01,5.117102
2025-07-27,2025-07-27,1967-08-01,5.195627
2025-07-27,2025-07-27,1967-09-01,5.271365
2025-07-27,2025-07-27,1967-10-01,5.261735
2025-07-27,2025-07-27,1967-11-01,5.090616000000001
2025-07-27,2025-07-27,1967-12-01,5.254071
2025-07-27,2025-07-27,1968-01-01,5.271944
2025-07-27,2025-07-27,1968-02-01,5.018927
2025-07-27,2025-07-27,1968-03-01,4.899619
2025-07-27,2025-07-27,1968-04-01,5.271408
2025-07-27,2025-07-27,1968-05-01,5.432116000000001
2025-07-27,2025-07-27,1968-06-01,5.608871
2025-07-27,2025-07-27,1968-07-01,5.5867949999999995
2025-07-27,2025-07-27,1968-08-01,5.450272
2025-07-27,2025-07-27,1968-09-01,5.625068
2025-07-27,2025-07-27,1968-10-01,5.7752989999999995
2025-07-27,2025-07-27,1968-11-01,5.886394
2025-07-27,2025-07-27,1968-12-01,5.973374
2025-07-27,2025-07-27,1969-01-01,5.725548000000001
2025-07-27,2025-07-27,1969-02-01,5.677547
2025-07-27,2025-07-27,1969-03-01,5.514977
2025-07-27,2025-07-27,1969-04-01,5.605755
2025-07-27,2025-07-27,1969-05-01,5.793253
2025-07-27,2025-07-27,1969-06-01,5.466130000000001
2025-07-27,2025-07-27,1969-07-01,5.189364
2025-07-27,2025-07-27,1969-08-01,5.158938
2025-07-27,2025-07-27,1969-09-01,5.185778
2025-07-27,2025-07-27,1969-10-01,5.275016
2025-07-27,2025-07-27,1969-11-01,5.332546
2025-07-27,2025-07-27,1969-12-01,5.038553
2025-07-27,2025-07-27,1970-01-01,5.003093
2025-07-27,2025-07-27,1970-02-01,4.828743
2025-07-27,2025-07-27,1970-03-01,4.897915
2025-07-27,2025-07-27,1970-04-01,4.705036
2025-07-27,2025-07-27,1970-05-01,4.124212
2025-07-27,2025-07-27,1970-06-01,4.087809
2025-07-27,2025-07-27,1970-07-01,4.074982
2025-07-27,2025-07-27,1970-08-01,4.186646
2025-07-27,2025-07-27,1970-09-01,4.466088
2025-07-27,2025-07-27,1970-10-01,4.560902
2025-07-27,2025-07-27,1970-11-01,4.539128
2025-07-27,2025-07-27,1970-12-01,4.852874
2025-07-27,2025-07-27,1971-01-01,5.0791900000000005
2025-07-27,2025-07-27,1971-02-01,5.290019999999999
2025-07-27,2025-07-27,1971-03-01,5.436094000000001
2025-07-27,2025-07-27,1971-04-01,5.625946
2025-07-27,2025-07-27,1971-05-01,5.5455190000000005
2025-07-27,2025-07-27,1971-06-01,5.452541
2025-07-27,2025-07-27,1971-07-01,5.42943
2025-07-27,2025-07-27,1971-08-01,5.321332
