Cal_Fraction,Cal_Rows,Recession_Months,Composition_pct,Cal_Start,Cal_End,Horizon,Gamma,Coverage,Width,Coverage_Gap,Nominal
20%,127,1,0.79,2009-06-01,2019-12-01,Current,0.005,70.77,2.487,-19.23,90.0
20%,127,1,0.79,2009-06-01,2019-12-01,1M,0.005,71.88,2.409,-18.12,90.0
20%,127,1,0.79,2009-06-01,2019-12-01,3M,0.005,59.68,4.394,-30.32,90.0
20%,127,1,0.79,2009-06-01,2019-12-01,6M,0.005,59.32,11.711,-30.68,90.0
25%,158,16,10.13,2006-11-01,2019-12-01,Current,0.005,89.23,7.122,-0.77,90.0
25%,158,16,10.13,2006-11-01,2019-12-01,1M,0.005,82.81,4.795,-7.19,90.0
25%,158,16,10.13,2006-11-01,2019-12-01,3M,0.005,88.71,21.898,-1.29,90.0
25%,158,16,10.13,2006-11-01,2019-12-01,6M,0.005,67.8,10.549,-22.2,90.0
30%,190,16,8.42,2004-03-01,2019-12-01,Current,0.005,87.69,6.028,-2.31,90.0
30%,190,16,8.42,2004-03-01,2019-12-01,1M,0.005,81.25,4.222,-8.75,90.0
30%,190,16,8.42,2004-03-01,2019-12-01,3M,0.005,87.1,16.903,-2.9,90.0
30%,190,16,8.42,2004-03-01,2019-12-01,6M,0.005,66.1,10.385,-23.9,90.0
35%,222,16,7.21,2001-07-01,2019-12-01,Current,0.005,89.23,6.861,-0.77,90.0
35%,222,16,7.21,2001-07-01,2019-12-01,1M,0.005,85.94,5.432,-4.06,90.0
35%,222,16,7.21,2001-07-01,2019-12-01,3M,0.005,85.48,14.648,-4.52,90.0
35%,222,16,7.21,2001-07-01,2019-12-01,6M,0.005,66.1,10.537,-23.9,90.0
40%,254,16,6.3,1998-11-01,2019-12-01,Current,0.005,89.23,7.45,-0.77,90.0
40%,254,16,6.3,1998-11-01,2019-12-01,1M,0.005,85.94,7.346,-4.06,90.0
40%,254,16,6.3,1998-11-01,2019-12-01,3M,0.005,85.48,14.95,-4.52,90.0
40%,254,16,6.3,1998-11-01,2019-12-01,6M,0.005,67.8,10.64,-22.2,90.0
