horizon,N,q,section44_ceiling_ratio,demand,supply,margin,guarantee_attained,margin_ge_1,consistent
Current,20,0.868,1.0,3,10,3.333,True,True,True
Current,20,0.9,1.0,2,10,5.0,True,True,True
Current,20,0.927,1.0,2,10,5.0,True,True,True
Current,30,0.868,1.0,4,15,3.75,True,True,True
Current,30,0.9,1.0,3,15,5.0,True,True,True
Current,30,0.927,1.0,3,15,5.0,True,True,True
Current,50,0.868,1.0,7,25,3.571,True,True,True
Current,50,0.9,1.0,5,25,5.0,True,True,True
Current,50,0.927,1.0,4,25,6.25,True,True,True
Current,80,0.868,1.0,11,40,3.636,True,True,True
Current,80,0.9,1.0,8,40,5.0,True,True,True
Current,80,0.927,1.0,6,40,6.667,True,True,True
Current,120,0.868,1.0,16,60,3.75,True,True,True
Current,120,0.9,1.0,12,60,5.0,True,True,True
Current,120,0.927,1.0,9,60,6.667,True,True,True
Current,180,0.868,1.0,24,90,3.75,True,True,True
Current,180,0.9,1.0,18,90,5.0,True,True,True
Current,180,0.927,1.0,14,90,6.429,True,True,True
Current,254,0.868,1.0,34,127,3.735,True,True,True
Current,254,0.9,1.0,26,127,4.885,True,True,True
Current,254,0.927,1.0,19,127,6.684,True,True,True
1M,20,0.868,1.0,3,10,3.333,True,True,True
1M,20,0.9,1.0,2,10,5.0,True,True,True
1M,20,0.927,1.0,2,10,5.0,True,True,True
1M,30,0.868,1.0,4,15,3.75,True,True,True
1M,30,0.9,1.0,3,15,5.0,True,True,True
1M,30,0.927,1.0,3,15,5.0,True,True,True
1M,50,0.868,1.0,7,25,3.571,True,True,True
1M,50,0.9,1.0,5,25,5.0,True,True,True
1M,50,0.927,1.0,4,25,6.25,True,True,True
1M,80,0.868,1.0,11,40,3.636,True,True,True
1M,80,0.9,1.0,8,40,5.0,True,True,True
1M,80,0.927,1.0,6,40,6.667,True,True,True
1M,120,0.868,1.0,16,60,3.75,True,True,True
1M,120,0.9,1.0,12,60,5.0,True,True,True
1M,120,0.927,1.0,9,60,6.667,True,True,True
1M,180,0.868,1.0,24,90,3.75,True,True,True
1M,180,0.9,1.0,18,90,5.0,True,True,True
1M,180,0.927,1.0,14,90,6.429,True,True,True
1M,254,0.868,1.0,34,127,3.735,True,True,True
1M,254,0.9,1.0,26,127,4.885,True,True,True
1M,254,0.927,1.0,19,127,6.684,True,True,True
3M,20,0.868,1.0,3,10,3.333,True,True,True
3M,20,0.9,1.0,2,10,5.0,True,True,True
3M,20,0.927,1.0,2,10,5.0,True,True,True
3M,30,0.868,1.0,4,15,3.75,True,True,True
3M,30,0.9,1.0,3,15,5.0,True,True,True
3M,30,0.927,1.0,3,15,5.0,True,True,True
3M,50,0.868,1.0,7,25,3.571,True,True,True
3M,50,0.9,1.0,5,25,5.0,True,True,True
3M,50,0.927,1.0,4,25,6.25,True,True,True
3M,80,0.868,1.0,11,40,3.636,True,True,True
3M,80,0.9,1.0,8,40,5.0,True,True,True
3M,80,0.927,1.0,6,40,6.667,True,True,True
3M,120,0.868,1.0,16,60,3.75,True,True,True
3M,120,0.9,1.0,12,60,5.0,True,True,True
3M,120,0.927,1.0,9,60,6.667,True,True,True
3M,180,0.868,1.0,24,90,3.75,True,True,True
3M,180,0.9,1.0,18,90,5.0,True,True,True
3M,180,0.927,1.0,14,90,6.429,True,True,True
3M,254,0.868,1.0,34,127,3.735,True,True,True
3M,254,0.9,1.0,26,127,4.885,True,True,True
3M,254,0.927,1.0,19,127,6.684,True,True,True
6M,20,0.868,1.0,3,10,3.333,True,True,True
6M,20,0.9,1.0,2,10,5.0,True,True,True
6M,20,0.927,1.0,2,10,5.0,True,True,True
6M,30,0.868,1.0,4,15,3.75,True,True,True
6M,30,0.9,1.0,3,15,5.0,True,True,True
6M,30,0.927,1.0,3,15,5.0,True,True,True
6M,50,0.868,1.0,7,25,3.571,True,True,True
6M,50,0.9,1.0,5,25,5.0,True,True,True
6M,50,0.927,1.0,4,25,6.25,True,True,True
6M,80,0.868,1.0,11,40,3.636,True,True,True
6M,80,0.9,1.0,8,40,5.0,True,True,True
6M,80,0.927,1.0,6,40,6.667,True,True,True
6M,120,0.868,1.0,16,60,3.75,True,True,True
6M,120,0.9,1.0,12,60,5.0,True,True,True
6M,120,0.927,1.0,9,60,6.667,True,True,True
6M,180,0.868,1.0,24,90,3.75,True,True,True
6M,180,0.9,1.0,18,90,5.0,True,True,True
6M,180,0.927,1.0,14,90,6.429,True,True,True
6M,254,0.868,1.0,34,127,3.735,True,True,True
6M,254,0.9,1.0,26,127,4.885,True,True,True
6M,254,0.927,1.0,19,127,6.684,True,True,True
