t,alpha_t,q_t,Q_C,demand,supply,marginA,driftB_max,driftB_p90,miss,horizon,strategy
0,0.1,0.9,9.640562571309903,26,130,5.0,,,1.0,Current,pooled_trailing
1,0.0955,0.9045,10.247316128918715,25,130,5.2,,,1.0,Current,pooled_trailing
2,0.091,0.909,13.170042260739256,24,130,5.416666666666667,,,0.0,Current,pooled_trailing
3,0.0915,0.9085,12.801327311440275,24,130,5.416666666666667,,,0.0,Current,pooled_trailing
4,0.092,0.908,12.432612362141459,24,130,5.416666666666667,,,1.0,Current,pooled_trailing
5,0.0875,0.9125,13.810297052591695,23,130,5.6521739130434785,,,1.0,Current,pooled_trailing
6,0.08299999999999999,0.917,14.054170561529608,22,130,5.909090909090909,7.109633369151672,6.728034842958451,0.0,Current,pooled_trailing
7,0.08349999999999999,0.9165,14.034224221080603,22,130,5.909090909090909,7.119738036528704,6.737597158011736,0.0,Current,pooled_trailing
8,0.08399999999999999,0.916,14.015051051659318,22,130,5.909090909090909,7.129478132594453,6.746814469552505,0.0,Current,pooled_trailing
9,0.08449999999999999,0.9155,13.995877882238027,22,130,5.909090909090909,7.139244914876478,6.756057034968349,0.0,Current,pooled_trailing
10,0.08499999999999999,0.915,13.976704712816739,22,130,5.909090909090909,7.1490384931988045,6.76532495818866,0.0,Current,pooled_trailing
11,0.08549999999999999,0.9145,13.957531543395447,22,130,5.909090909090909,6.390377709438877,3.2273684151182143,0.0,Current,pooled_trailing
12,0.086,0.914,13.938358373974163,22,130,5.909090909090909,0.06444765118927624,0.06438803320542905,0.0,Current,pooled_trailing
13,0.0865,0.9135,13.919185204552871,22,130,5.909090909090909,0.06453642547576624,0.06452919588203561,0.0,Current,pooled_trailing
14,0.087,0.913,13.894368690082098,23,130,5.6521739130434785,0.18198967469828486,0.12332068383679982,0.0,Current,pooled_trailing
15,0.0875,0.9125,13.810297052591695,23,130,5.6521739130434785,0.18309755600597616,0.12910311153231005,0.0,Current,pooled_trailing
16,0.088,0.912,13.726225415101329,23,130,5.6521739130434785,0.18421900861864934,0.1380423022107443,0.0,Current,pooled_trailing
17,0.0885,0.9115,13.642153777610924,23,130,5.6521739130434785,0.18535428344137175,0.13889300676802974,0.0,Current,pooled_trailing
18,0.089,0.911,13.55808214012054,23,130,5.6521739130434785,0.18650363760250785,0.13975426150850645,0.0,Current,pooled_trailing
19,0.0895,0.9105,13.474010502630135,23,130,5.6521739130434785,0.18766733464787524,0.1406262639170684,0.0,Current,pooled_trailing
20,0.09,0.91,13.389938865139769,23,130,5.6521739130434785,0.09417278813462271,0.08581969276834518,0.0,Current,pooled_trailing
21,0.0905,0.9095,13.305867227649365,23,130,5.6521739130434785,0.09476780838922608,0.08099402533862125,0.0,Current,pooled_trailing
22,0.091,0.909,13.170042260739256,24,130,5.416666666666667,0.07976923326574306,0.07384136487965211,0.0,Current,pooled_trailing
23,0.0915,0.9085,12.801327311440275,24,130,5.416666666666667,0.08372945520479674,0.08289813560993119,0.0,Current,pooled_trailing
24,0.092,0.908,12.432612362141459,24,130,5.416666666666667,0.08621262615321812,0.08535665204863702,0.0,Current,pooled_trailing
