t,alpha_t,q_t,Q_C,demand,supply,marginA,driftB_max,driftB_p90,miss,horizon,strategy
0,0.1,0.9,5.308607949301923,26,134,5.153846153846154,,,0,region-month,ridge/pooled_trailing
1,0.1005,0.8995,5.30393635794878,26,134,5.153846153846154,,,0,region-month,ridge/pooled_trailing
2,0.101,0.899,5.2992647665956385,26,134,5.153846153846154,,,0,region-month,ridge/pooled_trailing
3,0.1015,0.8985,5.294593175242495,26,134,5.153846153846154,,,0,region-month,ridge/pooled_trailing
4,0.10200000000000001,0.898,5.289921583889354,26,134,5.153846153846154,,,0,region-month,ridge/pooled_trailing
5,0.10250000000000001,0.8975,5.285249992536212,27,134,4.962962962962963,,,0,region-month,ridge/pooled_trailing
6,0.10300000000000001,0.897,5.2786779592635735,27,134,4.962962962962963,0.46037642509610993,0.4578030562102596,0,region-month,ridge/pooled_trailing
7,0.10350000000000001,0.8965,5.26993169159151,27,134,4.962962962962963,0.45598521148119514,0.45242026988951334,0,region-month,ridge/pooled_trailing
8,0.10400000000000001,0.896,5.26118542391945,27,134,4.962962962962963,0.45674324762567003,0.45317237962560614,0,region-month,ridge/pooled_trailing
9,0.10450000000000001,0.8955,5.2524391562473856,27,134,4.962962962962963,0.4575038083065854,0.45449138967686953,0,region-month,ridge/pooled_trailing
10,0.10500000000000001,0.895,5.243692888575324,27,134,4.962962962962963,0.4582669061564147,0.4552494629342531,0,region-month,ridge/pooled_trailing
11,0.10550000000000001,0.8945,5.23494662090326,27,134,4.962962962962963,0.45298758468356337,0.45242130324430085,0,region-month,ridge/pooled_trailing
12,0.10600000000000001,0.894,5.2262003532312,27,134,4.962962962962963,0.6994414798082363,0.5765935792016209,0,region-month,ridge/pooled_trailing
13,0.10650000000000001,0.8935,5.217454085559137,28,134,4.785714285714286,0.7006139869933554,0.5775601505789616,0,region-month,ridge/pooled_trailing
14,0.10700000000000001,0.893,5.207648372652466,28,134,4.785714285714286,0.7019332042529024,0.5786476642929542,0,region-month,ridge/pooled_trailing
15,0.10750000000000001,0.8925,5.197014501851134,28,134,4.785714285714286,0.703369464821837,0.49416649536896534,0,region-month,ridge/pooled_trailing
16,0.10800000000000001,0.892,5.186380631049807,28,134,4.785714285714286,0.7048116150507916,0.6759485243390684,0,region-month,ridge/pooled_trailing
17,0.10850000000000001,0.8915,5.175746760248476,28,134,4.785714285714286,0.7062596912417078,0.6773372996422532,0,region-month,ridge/pooled_trailing
18,0.10900000000000001,0.891,5.165112889447146,28,134,4.785714285714286,0.6497498566693564,0.5398834728541521,0,region-month,ridge/pooled_trailing
19,0.10950000000000001,0.8905,5.154479018645815,28,134,4.785714285714286,0.6510903133874866,0.5409972713733306,0,region-month,ridge/pooled_trailing
20,0.11000000000000001,0.89,5.1438451478444875,28,134,4.785714285714286,0.652436312357821,0.5421156750037481,0,region-month,ridge/pooled_trailing
21,0.11050000000000001,0.8895,5.133211277043156,29,134,4.620689655172414,0.6537878880240591,0.5432387123650093,0,region-month,ridge/pooled_trailing
22,0.11100000000000002,0.889,5.12221201926972,29,134,4.620689655172414,0.4336186789851532,0.3712598437705008,0,region-month,ridge/pooled_trailing
23,0.11150000000000002,0.8885,5.111021263504876,29,134,4.620689655172414,0.43456810190503947,0.40848936501482025,0,region-month,ridge/pooled_trailing
24,0.11200000000000002,0.888,5.099830507740037,29,134,4.620689655172414,0.38324976658905113,0.350851194113764,1,region-month,ridge/pooled_trailing
25,0.10750000000000001,0.8925,5.197014501851134,28,134,4.785714285714286,1.0681937243903463,0.7221383667011652,0,region-month,ridge/pooled_trailing
26,0.10800000000000001,0.892,5.186380631049807,28,134,4.785714285714286,1.0703838903006444,0.7236189996586092,0,region-month,ridge/pooled_trailing
27,0.10850000000000001,0.8915,5.175746760248476,28,134,4.785714285714286,1.0725830558557878,0.7251057167079937,0,region-month,ridge/pooled_trailing
28,0.10900000000000001,0.891,5.165112889447146,28,134,4.785714285714286,1.0747912766408492,0.7851518463584907,0,region-month,ridge/pooled_trailing
29,0.10950000000000001,0.8905,5.154479018645815,28,134,4.785714285714286,1.077008608699599,0.8565408808319251,0,region-month,ridge/pooled_trailing
30,0.11000000000000001,0.89,5.1438451478444875,28,134,4.785714285714286,1.0792351085392429,0.9479074404819594,0,region-month,ridge/pooled_trailing
